control_id,layer,context,metric,expected,actual,difference,tolerance,status,source
STRUCT-001,datos,global,celdas_cohorte_horizonte,120,120,0,0,PASS,seguimiento_*.csv.gz
CELL-2012-4-Base,medidas,cohorte=2012;horizonte=4,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-4-Carrera,medidas,cohorte=2012;horizonte=4,Carrera,855,855,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-4-Institucion,medidas,cohorte=2012;horizonte=4,Institucion,1406,1406,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-4-EducacionSuperior,medidas,cohorte=2012;horizonte=4,EducacionSuperior,2116,2116,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-4,invariantes,cohorte=2012;horizonte=4,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-5-Base,medidas,cohorte=2012;horizonte=5,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-5-Carrera,medidas,cohorte=2012;horizonte=5,Carrera,321,321,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-5-Institucion,medidas,cohorte=2012;horizonte=5,Institucion,670,670,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-5-EducacionSuperior,medidas,cohorte=2012;horizonte=5,EducacionSuperior,1439,1439,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-5,invariantes,cohorte=2012;horizonte=5,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-6-Base,medidas,cohorte=2012;horizonte=6,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-6-Carrera,medidas,cohorte=2012;horizonte=6,Carrera,98,98,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-6-Institucion,medidas,cohorte=2012;horizonte=6,Institucion,316,316,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-6-EducacionSuperior,medidas,cohorte=2012;horizonte=6,EducacionSuperior,1050,1050,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-6,invariantes,cohorte=2012;horizonte=6,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-7-Base,medidas,cohorte=2012;horizonte=7,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-7-Carrera,medidas,cohorte=2012;horizonte=7,Carrera,52,52,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-7-Institucion,medidas,cohorte=2012;horizonte=7,Institucion,183,183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-7-EducacionSuperior,medidas,cohorte=2012;horizonte=7,EducacionSuperior,825,825,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-7,invariantes,cohorte=2012;horizonte=7,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-8-Base,medidas,cohorte=2012;horizonte=8,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-8-Carrera,medidas,cohorte=2012;horizonte=8,Carrera,32,32,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-8-Institucion,medidas,cohorte=2012;horizonte=8,Institucion,132,132,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-8-EducacionSuperior,medidas,cohorte=2012;horizonte=8,EducacionSuperior,693,693,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-8,invariantes,cohorte=2012;horizonte=8,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-9-Base,medidas,cohorte=2012;horizonte=9,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-9-Carrera,medidas,cohorte=2012;horizonte=9,Carrera,20,20,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-9-Institucion,medidas,cohorte=2012;horizonte=9,Institucion,82,82,0,0,PASS,resultados_control.csv vs seguimiento
